name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt,year,age,make,model,City (L/100 km),Highway (L/100 km),Combined (L/100 km),market,km_per_year,usage_ratio,usage_category,annual_fuel_cost
2018 TACOMA -  ONLY  2366  KM - ONE ONLY !,38000,2359.0,0,https://www.craigslist.org/view/d/vancouver-2018-tacoma-only-2366-km-one/nit97iW186YQhpr1o7KY21,like new,gas,,clean,automatic,pickup,4.0,rwd,East Vancouver,,,2018.0,8.0,,,,,,,294.9,0.02,Ultra Low/Weekend,
2012 WHITE RAM VAN C/V...,3350,352500.0,0,https://www.craigslist.org/view/d/vancouver-2012-white-ram-van-v/hEJ3668tcY2Kq62KqPZRon,good,gas,white,clean,automatic,van,6.0,fwd,Vancouver BC,,,2012.0,14.0,Ram,,,,,American,25178.6,1.68,Highway/Heavy Commute,
"2003 Audi A4 Cabriolet Convertible — 195,000 km — Clean Title",3800,19500.0,0,https://www.craigslist.org/view/d/burnaby-2003-audi-a4-cabriolet/voibTFf19AKxoJNxtJEiav,excellent,gas,grey,clean,automatic,,6.0,fwd,Burnaby,,,2003.0,23.0,Audi,Cabriolet,,,,European,847.8,0.06,Ultra Low/Weekend,
2002 BMW 525i (E39) – Rare 5-Speed Manual Transmission,9000,235000.0,0,https://www.craigslist.org/view/d/richmond-2002-bmw-525i-e39-rare-speed/gvJBorRAi4MVi2ZXvd7WQj,excellent,gas,silver,clean,manual,sedan,6.0,rwd,Richmond,,,2002.0,24.0,BMW,525i,13.2,9.1,11.35,European,9791.7,0.65,Below Average,3064.0
2001 BMW 740iL (E38),28000,145000.0,0,https://www.craigslist.org/view/d/richmond-2001-bmw-740il-e38/3SgWESoVdATqwj35mfUGZp,excellent,gas,silver,clean,automatic,sedan,,,Richmond,,,2001.0,25.0,BMW,740il,15.4,10.9,13.4,European,5800.0,0.39,Ultra Low/Weekend,3618.0
2001 Toyota Hiace Grand Cabin Highroof 4WD Turbo Diesel Campervan,39000,119000.0,0,https://www.craigslist.org/view/d/vancouver-2001-toyota-hiace-grand-cabin/k6szgVHxh9xN58vU8LA2bv,excellent,diesel,silver,clean,automatic,van,4.0,4wd,Vancouver,,,2001.0,25.0,Toyota,,,,,Japanese,4760.0,0.32,Ultra Low/Weekend,
2011 Mercedes-Benz ML 350 Bluetec,3500,280000.0,0,https://www.craigslist.org/view/d/vancouver-2011-mercedes-benz-ml-350/s5jeiDJNGctEpcTsZXsY7J,good,diesel,black,clean,automatic,SUV,6.0,4wd,Vancouver,,,2011.0,15.0,Mercedes-Benz,ML 350 BlueTec,12.6,9.5,11.2,European,18666.7,1.24,Above Average,3024.0
1989 Nissan S-Cargo (aka Snail),10800,63000.0,0,https://www.craigslist.org/view/d/burnaby-1989-nissan-cargo-aka-snail/i7mE9hXG9ZDXaVyhd5bVBy,good,gas,white,clean,automatic,van,4.0,fwd,Vancouver,,,1989.0,37.0,Nissan,,,,,Japanese,1702.7,0.11,Ultra Low/Weekend,
"1995 Ford Escort Wagon, Senior-Owned, 218k, Collector Plate Candidate",3600,218887.0,0,https://www.craigslist.org/view/d/oak-bay-south-1995-ford-escort-wagon/ea7pM73P6b82wAL29MQzDj,,gas,,clean,automatic,wagon,,,Victoria BC,,,1995.0,31.0,Ford,Escort,10.5,7.4,9.1,American,7060.9,0.47,Ultra Low/Weekend,2457.0
2017 Ford Transit T-350 PASSENGER GREAT CONDITION,10950,108000.0,0,https://www.craigslist.org/view/d/burnaby-2017-ford-transit-350-passenger/nex2sVSACryft4gjBqrcUd,excellent,gas,white,clean,automatic,truck,6.0,rwd,Burnaby,,,2017.0,9.0,Ford,,,,,American,12000.0,0.8,Average,
2008 PORSCHE 911,113641,73000.0,0,https://www.craigslist.org/view/d/vancouver-2008-porsche-911/kuZeuGMF2i8TkDnnLDDF3F,,gas,,clean,automatic,coupe,,,city of vancouver,,,2008.0,18.0,Porsche,911,15.3,10.1,12.9,European,4055.6,0.27,Ultra Low/Weekend,3483.0
2008 Infiniti G35X AWD,6000,187000.0,0,https://www.craigslist.org/view/d/vancouver-2008-infiniti-g35x-awd/9cetYmmRYsmpkWmZPUX6NS,excellent,gas,white,rebuilt,automatic,sedan,6.0,4wd,Vancouver,,,2008.0,18.0,Infiniti,G35x,14.2,10.3,12.4,Japanese,10388.9,0.69,Below Average,3348.0
2010 Mercedes C250 4Matic,7200,137000.0,0,https://www.craigslist.org/view/d/vancouver-2010-mercedes-c250-4matic/cW1P3FXCNWEguaPggYxUZz,excellent,gas,grey,rebuilt,automatic,coupe,6.0,4wd,Vancouver,,,2010.0,16.0,Mercedes-Benz,C 250,13.2,8.9,11.2,European,8562.5,0.57,Below Average,3024.0
"Kia Optima Hybrid, 2012",8499,120000.0,0,https://www.craigslist.org/view/d/vancouver-kia-optima-hybrid-2012/xA7ubtnTDqkcQZwsGZBWCd,excellent,hybrid,black,clean,automatic,sedan,,,Vancouver,,,2012.0,14.0,Kia,Optima,9.95,6.75,8.55,Korean,8571.4,0.57,Below Average,2308.0
"2011 Mercedes AMG C350 4MATIC, 37,842 KM",13500,37842.0,0,https://www.craigslist.org/view/d/vancouver-2011-mercedes-amg-c350-4matic/73tQ7xrGbL1w2uotnbaUZ7,like new,gas,silver,clean,automatic,sedan,6.0,4wd,Vancouver,,,2011.0,15.0,Mercedes-Benz,C 350,13.85,9.6,11.95,European,2522.8,0.17,Ultra Low/Weekend,3226.0
"2015 Nissan Frontier PRO 4X Crew Cab, 77,000 KM",21500,77000.0,0,https://www.craigslist.org/view/d/vancouver-2015-nissan-frontier-pro-4x/h3odcSP2m12dJwBqe19sGn,like new,gas,grey,rebuilt,automatic,pickup,6.0,4wd,Vancouver,,,2015.0,11.0,Nissan,Frontier,15.0,11.2,13.3,Japanese,7000.0,0.47,Ultra Low/Weekend,3591.0
2019 Toyota Camry SE 140K KMS PERFECT CONDITION,13950,140000.0,0,https://www.craigslist.org/view/d/burnaby-2019-toyota-camry-se-140k-kms/hmiZWaDFVVeRYjGufcUvnA,excellent,gas,white,rebuilt,automatic,sedan,4.0,fwd,Burnaby,,,2019.0,7.0,Toyota,Camry SE,6.699999999999999,5.35,6.0,Japanese,20000.0,1.33,Above Average,1620.0
2015 Mitsubishi Mirage Fully Loaded Clean Reliable,7980,169000.0,0,https://www.craigslist.org/view/d/north-vancouver-2015-mitsubishi-mirage/6u5myddRrcUhwbYtNJHCb1,excellent,gas,blue,clean,automatic,hatchback,3.0,fwd,Only 169K! Super Cheap on Gas!,,,2015.0,11.0,Mitsubishi,Mirage,6.7,5.4,6.15,Japanese,15363.6,1.02,Average,1661.0
Chevy spark 2019 low k.m,5900,95000.0,0,https://www.craigslist.org/view/d/coquitlam-chevy-spark-2019-low-km/59jwhjBYCh6KW6AscRFx8P,excellent,gas,blue,rebuilt,automatic,hatchback,4.0,fwd,Coquitlam,,,2019.0,7.0,Chevrolet,Spark,7.95,6.2,7.15,American,13571.4,0.9,Average,1931.0
"2020 Hyundai Elantra 124,000 kms CLEAN TITLE FINANCING AVAILABLE",9850,124000.0,0,https://www.craigslist.org/view/d/burnaby-2020-hyundai-elantra-kms-clean/u8vJE5dRvvifTfrJ4C7rRi,,gas,grey,clean,automatic,sedan,4.0,fwd,Burnaby,,,2020.0,6.0,Hyundai,Elantra,9.0,6.65,8.0,Korean,20666.7,1.38,Above Average,2160.0
2018 Mercedes Benz C300 4Matic Coupe in Pristine Condition,31900,41000.0,0,https://www.craigslist.org/view/d/vancouver-2018-mercedes-benz-c300/uihWspscCL8qtMAGwQYdj1,like new,gas,black,clean,automatic,coupe,,4wd,Yaletown,,,2018.0,8.0,Mercedes-Benz,C 300,10.6,7.9,9.4,European,5125.0,0.34,Ultra Low/Weekend,2538.0
2021 MINI Hardtop 2 Door John Cooper Works,37500,43800.0,0,https://www.craigslist.org/view/d/vancouver-2021-mini-hardtop-door-john/cH5H22seKJf7tTexHvxhnV,excellent,gas,black,clean,automatic,hatchback,4.0,fwd,Vancouver,WMWXR9C09M2N02615,,2021.0,5.0,MINI,John Cooper Works,9.4,7.1,8.3,European,8760.0,0.58,Below Average,2241.0
Hyundai Elantra 2016,6000,198200.0,0,https://www.craigslist.org/view/d/vancouver-hyundai-elantra-2016/6iw6Bwy6rNr9PCjYK1aJ9x,good,gas,grey,clean,automatic,sedan,6.0,fwd,city of vancouver,,,2016.0,10.0,Hyundai,Elantra,9.25,6.550000000000001,8.0,Korean,19820.0,1.32,Above Average,2160.0
"2011 Nissan Juke, low mileage and well maintained",7000,94000.0,0,https://www.craigslist.org/view/d/white-rock-2011-nissan-juke-low-mileage/hc9EoCNw7b3K6WiRkNQsQq,excellent,gas,,clean,automatic,,,,White Rock,,,2011.0,15.0,Nissan,Juke,9.3,7.6,8.6,Japanese,6266.7,0.42,Ultra Low/Weekend,2322.0
2012 Mini Cooper Countryman S All 4 AWD 64k km only!,13900,64000.0,0,https://www.craigslist.org/view/d/richmond-2012-mini-cooper-countryman/rv8WmfyjqSuMSpUHLmEtQS,excellent,gas,,clean,automatic,SUV,4.0,4wd,Vancouver,WMWZC5C50CWL57809,,2012.0,14.0,MINI,Cooper Countryman,9.0,7.35,8.25,European,4571.4,0.3,Ultra Low/Weekend,2228.0
2016 Kia Sportage,7900,170000.0,0,https://www.craigslist.org/view/d/vancouver-2016-kia-sportage/c6HH4XvLZdJPr3T9GzzJNv,good,gas,white,clean,automatic,SUV,,,Vancouver,,,2016.0,10.0,Kia,Sportage,12.3,9.25,11.05,Korean,17000.0,1.13,Average,2984.0
2008 Nissan Versa Hatchback (new transmission!),4500,161000.0,0,https://www.craigslist.org/view/d/vancouver-2008-nissan-versa-hatchback/vMLDH9UijUXBfLJnDZTLZm,good,gas,silver,clean,automatic,hatchback,4.0,fwd,city of vancouver,,,2008.0,18.0,Nissan,Versa,9.2,7.4,8.4,Japanese,8944.4,0.6,Below Average,2268.0
2013 Honda Civic LX,13999,96000.0,0,https://www.craigslist.org/view/d/vancouver-2013-honda-civic-lx/hhNN1WZNEmsTiV6TCQ8pY5,like new,gas,,clean,automatic,sedan,4.0,,city of vancouver,,,2013.0,13.0,Honda,Civic,8.350000000000001,6.25,7.449999999999999,Japanese,7384.6,0.49,Ultra Low/Weekend,2012.0
1970 buick skylark coupe,25000,108000.0,0,https://www.craigslist.org/view/d/north-vancouver-outer-east-1970-buick/3pA3HHrVLwitpTHqWAEnGq,like new,gas,brown,clean,automatic,coupe,8.0,rwd,Deep cove,,,1970.0,56.0,Buick,Skylark,,,,American,1928.6,0.13,Ultra Low/Weekend,
2013 Lincoln Mkt Limousine,33888,150000.0,0,https://www.craigslist.org/view/d/richmond-2013-lincoln-mkt-limousine/5XtX2H6ZaFsKFdK5bXiiK4,like new,gas,black,clean,automatic,SUV,,4wd,Richmond,,,2013.0,13.0,Lincoln,MKT,14.7,10.4,12.8,American,11538.5,0.77,Below Average,3456.0
2011 toyota tacoma (clean title),15000,329000.0,0,https://www.craigslist.org/view/d/vancouver-2011-toyota-tacoma-clean-title/4o7pqY1GQo878e1ZtSwywT,excellent,gas,white,clean,automatic,pickup,6.0,4wd,Vancouver,,,2011.0,15.0,Toyota,Tacoma,15.6,12.1,14.1,Japanese,21933.3,1.46,Above Average,3807.0
2011 toyota tacoma (clean title),15000,329000.0,0,https://www.craigslist.org/view/d/vancouver-2011-toyota-tacoma-clean-title/5fPoqCtS5jjkWazaDrXTHo,excellent,gas,white,clean,automatic,pickup,6.0,4wd,Vancouver,,,2011.0,15.0,Toyota,Tacoma,15.6,12.1,14.1,Japanese,21933.3,1.46,Above Average,3807.0
2011 toyota tacoma (clean title),15000,329000.0,0,https://www.craigslist.org/view/d/vancouver-2011-toyota-tacoma-clean-title/aSSnNPVwYQydaeGd8iShGC,excellent,gas,white,clean,automatic,pickup,6.0,4wd,Vancouver,,,2011.0,15.0,Toyota,Tacoma,15.6,12.1,14.1,Japanese,21933.3,1.46,Above Average,3807.0
2011 toyota tacoma (clean title),15000,329000.0,0,https://www.craigslist.org/view/d/vancouver-2011-toyota-tacoma-clean-title/tH2wCMP5Wt6taPqgXSjSQw,excellent,gas,white,clean,automatic,pickup,6.0,4wd,Vancouver,,,2011.0,15.0,Toyota,Tacoma,15.6,12.1,14.1,Japanese,21933.3,1.46,Above Average,3807.0
2018 Ford Escape AWD • Ford Replacement Engine • Full History •,10950,167512.0,0,https://www.craigslist.org/view/d/vancouver-2018-ford-escape-awd-ford/hRaDC2kxfyywWqgdbecMzm,excellent,gas,white,clean,automatic,SUV,4.0,4wd,Vancouver,,,2018.0,8.0,Ford,Escape,11.1,8.3,9.7,American,20939.0,1.4,Above Average,2619.0
2002 Porsche 911,45000,100000.0,0,https://www.craigslist.org/view/d/vancouver-2002-porsche-911/8AdraLWaXYBsDEZ4Zf1Y2V,like new,gas,grey,clean,automatic,coupe,6.0,rwd,city of vancouver,,,2002.0,24.0,Porsche,911,17.45,11.55,14.8,European,4166.7,0.28,Ultra Low/Weekend,3996.0
2019 Mini JCW,23800,120000.0,0,https://www.craigslist.org/view/d/vancouver-2019-mini-jcw/nuFK9MgknhuyMEzJ7U8mk1,excellent,gas,black,clean,automatic,hatchback,4.0,fwd,city of vancouver,,,2019.0,7.0,MINI,JCW,,,,European,17142.9,1.14,Average,
"1956 Chevrolet Sedan Delivery, rare 1448 built in Oshawa",11450,1234.0,0,https://www.craigslist.org/view/d/vancouver-1956-chevrolet-sedan-delivery/ewXgdPTPcLV4Q8yvFXyzSX,good,gas,red,clean,automatic,sedan,8.0,rwd,Vancouver,,,1956.0,70.0,Chevrolet,,,,,American,17.6,0.0,Ultra Low/Weekend,
1951 Studebaker Champion Bullet nose 2 Door sedan,10450,67165.0,0,https://www.craigslist.org/view/d/vancouver-1951-studebaker-champion/dC8xpe6xgtQWUv5tRDez1y,good,gas,yellow,clean,manual,sedan,6.0,rwd,Vancouver,,,1951.0,75.0,,,,,,,895.5,0.06,Ultra Low/Weekend,
"2010 Chevrolet Malibu Hybrid, 4 door sedan",4450,206388.0,0,https://www.craigslist.org/view/d/vancouver-2010-chevrolet-malibu-hybrid/m3vqaQLsa4BvGeKS6PvLtp,excellent,hybrid,silver,clean,automatic,sedan,4.0,fwd,Vancouver,,,2010.0,16.0,Chevrolet,Malibu,12.85,8.85,11.05,American,12899.2,0.86,Average,2984.0
"1955 Ford Sedan Delivery Courier, Green,rare, only 7754 made",5950,123456.0,0,https://www.craigslist.org/view/d/vancouver-1955-ford-sedan-delivery/oqSAVyXbtfVKpmKYaR3hyq,good,gas,green,clean,automatic,sedan,8.0,rwd,Vancouver,,,1955.0,71.0,Ford,,,,,American,1738.8,0.12,Ultra Low/Weekend,
2011 Nissan Rogue SL AWD,5800,212300.0,0,https://www.craigslist.org/view/d/vancouver-2011-nissan-rogue-sl-awd/qNtPthXQYZ5yuAY2pCgNWH,,gas,,clean,automatic,SUV,,,Vancouver,JN8AS5MV1BW270263,,2011.0,15.0,Nissan,Rogue,10.45,8.7,9.7,Japanese,14153.3,0.94,Average,2619.0
2004 Civic SiR EP3,4500,290000.0,0,https://www.craigslist.org/view/d/vancouver-2004-civic-sir-ep3/c1n1W3CQHNYb5D5FBEMk3S,good,gas,black,clean,manual,hatchback,4.0,fwd,East Vancouver,,,2004.0,22.0,,,,,,,13181.8,0.88,Average,
2009 LEXUS HS250h Right Hand Drive,14888,74000.0,0,https://www.craigslist.org/view/d/vancouver-2009-lexus-hs250h-right-hand/85XwV5SxgqK4Av985PDaF9,like new,hybrid,black,clean,automatic,sedan,4.0,fwd,Vancouver,,,2009.0,17.0,Lexus,HS 250h,,,,Japanese,4352.9,0.29,Ultra Low/Weekend,
2006 Toyota MR-S V-Edition 97K Right Hand Drive,14200,97080.0,0,https://www.craigslist.org/view/d/vancouver-2006-toyota-mr-v-edition-97k/dDYczshdsPtChDKuUnwdnb,excellent,gas,green,clean,manual,convertible,4.0,rwd,Vancouver,,,2006.0,20.0,Toyota,,,,,Japanese,4854.0,0.32,Ultra Low/Weekend,
2004 Mitsubishi Pajero Exceed 3.0L 137K,15288,137000.0,0,https://www.craigslist.org/view/d/vancouver-2004-mitsubishi-pajero-exceed/knyZ7xJ7dF9HnMEcvmpV2x,excellent,gas,white,clean,automatic,SUV,6.0,4wd,Vancouver,,,2004.0,22.0,Mitsubishi,,,,,Japanese,6227.3,0.42,Ultra Low/Weekend,
2014 Acura RDX SUV Advanced Tech Package,18550,123429.0,0,https://www.craigslist.org/view/d/vancouver-2014-acura-rdx-suv-advanced/9UgSA8UaMz5yKZKvHkd7jY,good,gas,white,clean,automatic,SUV,6.0,4wd,Vancouver,,,2014.0,12.0,Acura,RDX,12.1,8.7,10.6,Japanese,10285.8,0.69,Below Average,2862.0
2000 Toyota Corolla,3500,272000.0,0,https://www.craigslist.org/view/d/vancouver-2000-toyota-corolla/53447RdKm6xgWj2SN1jGjK,,gas,,clean,manual,sedan,,,Vancouver,,,2000.0,26.0,Toyota,Corolla,9.0,6.85,8.0,Japanese,10461.5,0.7,Below Average,2160.0
2006 BMW 325i,4500,212600.0,0,https://www.craigslist.org/view/d/vancouver-2006-bmw-325i/9iR5uDwf9UMMRhY7pctrM3,good,gas,black,clean,automatic,sedan,,4wd,Vancouver,,,2006.0,20.0,BMW,325i,12.85,8.399999999999999,10.85,European,10630.0,0.71,Below Average,2930.0
2012 Mercedes Benz c300 4matic,9800,203000.0,0,https://www.craigslist.org/view/d/vancouver-2012-mercedes-benz-c300-4matic/7BKWkjRRBVTWzFRwyeFrCh,like new,gas,white,clean,automatic,sedan,6.0,4wd,Vancouver,,,2012.0,14.0,Mercedes-Benz,C 300,13.3,9.4,11.5,European,14500.0,0.97,Average,3105.0
"2022 Hyundai Kona SEL – ONLY 23,000km",20500,23000.0,0,https://www.craigslist.org/view/d/surrey-northeast-2022-hyundai-kona-sel/ecoHL4JvspT6pXPUeiZnpc,like new,gas,black,clean,automatic,SUV,4.0,fwd,Surrey,,,2022.0,4.0,Hyundai,Kona,8.25,7.0,7.7,Korean,5750.0,0.38,Ultra Low/Weekend,2079.0
1988 mustang gt 5.0 convertible,20850,193000.0,0,https://www.craigslist.org/view/d/vancouver-1988-mustang-gt-50-convertible/9DZGbSkVe6pqbqsUMGu57G,excellent,gas,blue,clean,manual,convertible,8.0,,Vancouver,,,1988.0,38.0,,,,,,,5078.9,0.34,Ultra Low/Weekend,
1985 Volkswagaen Westfalia,24900,125000.0,0,https://www.craigslist.org/view/d/vancouver-1985-volkswagaen-westfalia/wybtJgFWjhyw4KjFLLav8g,good,gas,custom,clean,automatic,wagon,6.0,fwd,Vancouver,,,1985.0,41.0,,,,,,,3048.8,0.2,Ultra Low/Weekend,
2005 Porsche Cayenne S,14900,90000.0,0,https://www.craigslist.org/view/d/courtenay-central-2005-porsche-cayenne/a8oZVpGJmkFXknpf5s5JzN,excellent,gas,silver,clean,automatic,SUV,8.0,4wd,Comox,,,2005.0,21.0,Porsche,Cayenne S,18.9,13.7,16.6,European,4285.7,0.29,Ultra Low/Weekend,4482.0
"2006 Ford Explorer V6 4X4 only 173,000kms",7000,173000.0,0,https://www.craigslist.org/view/d/vancouver-2006-ford-explorer-v6-4x4/nitiCiLsVjzYygTXRkrPNm,excellent,gas,green,clean,automatic,SUV,,4wd,city of vancouver,,,2006.0,20.0,Ford,Explorer,18.1,12.75,15.7,American,8650.0,0.58,Below Average,4239.0
2008 Toyota Highlander Hybrid - 2nd owner,9500,250000.0,0,https://www.craigslist.org/view/d/vancouver-2008-toyota-highlander-hybrid/6hTT54caLicyvKFM1NbhZ2,good,hybrid,silver,clean,automatic,SUV,6.0,4wd,Vancouver,,,2008.0,18.0,Toyota,Highlander,11.2,9.95,10.65,Japanese,13888.9,0.93,Average,2876.0
"2015 Nissan Micra Blue 121,000km",3900,128212.0,0,https://www.craigslist.org/view/d/vancouver-2015-nissan-micra-blue-km/eRSnXmFL66GQwrbR19LzmU,good,gas,,rebuilt,automatic,hatchback,4.0,fwd,vancouver west,,,2015.0,11.0,Nissan,Micra,8.7,6.6,7.75,Japanese,11655.6,0.78,Below Average,2092.0
2012 WHITE RAM VAN C/V... CASH OFFERS!,3350,352500.0,0,https://www.craigslist.org/view/d/vancouver-2012-white-ram-van-v-cash/7C6dTAfSBfTXn9dxu5MNmh,good,gas,white,clean,automatic,van,6.0,fwd,Vancouver BC,,,2012.0,14.0,Ram,,,,,American,25178.6,1.68,Highway/Heavy Commute,
"2014 Rolls-Royce Wraith — 29,000 KM — Clean Title",189000,29000.0,0,https://www.craigslist.org/view/d/vancouver-2014-rolls-royce-wraith-km/onPoW46kDozUA767Cdsb6K,,gas,,clean,automatic,,,,Kerrisdale,,,2014.0,12.0,Rolls-Royce,Wraith,18.7,11.8,15.6,,2416.7,0.16,Ultra Low/Weekend,4212.0
2002 SILVER MAZDA `ZOOM ZOOM` PROTEGE 5,3750,229500.0,0,https://www.craigslist.org/view/d/vancouver-2002-silver-mazda-zoom-zoom/4YdkzCG99siKy7hYjJ45Pn,good,gas,silver,clean,automatic,hatchback,,,East Vancouver,,,2002.0,24.0,Mazda,Protege,10.2,8.1,9.3,Japanese,9562.5,0.64,Below Average,2511.0
"2016 Mazda MX-5 ND1 Miata, Auto, Clean Title, No Accidents, Low 91k km",21800,91900.0,0,https://www.craigslist.org/view/d/richmond-2016-mazda-mx-nd1-miata-auto/r495yHHA8vZPHx2GuhX62a,,gas,,clean,automatic,,,,Richmond,,,2016.0,10.0,Mazda,MX-5,8.850000000000001,6.7,7.8,Japanese,9190.0,0.61,Below Average,2106.0
"1983 Volvo 242 Turbo intercooler, M46",3500,173000.0,0,https://www.craigslist.org/view/d/vancouver-1983-volvo-242-turbo/xnSVTes9n9psHzXXfWuBm8,,gas,,clean,automatic,,,,vancouver,,,1983.0,43.0,Volvo,,,,,European,4023.3,0.27,Ultra Low/Weekend,
2010 Audi Q5 AWD 3.2L *Clean title*,5900,210500.0,0,https://www.craigslist.org/view/d/vancouver-2010-audi-q5-awd-32l-clean/9xBB6HkkYTFRKejDJZmqCJ,good,gas,white,clean,automatic,SUV,6.0,4wd,Vancouver,,,2010.0,16.0,Audi,Q5,13.0,10.6,11.9,European,13156.2,0.88,Average,3213.0
"2012 Mazda 5 ~220,000km",5500,220000.0,0,https://www.craigslist.org/view/d/vancouver-2012-mazda-km/5pBaERdDsQvhVEr4MLYKfT,excellent,gas,grey,clean,automatic,,4.0,4wd,Vancouver,,,2012.0,14.0,Mazda,Mazda5,11.0,8.05,9.65,Japanese,15714.3,1.05,Average,2606.0
2011 Mazda Mazda3 GS Manual,3300,281888.0,0,https://www.craigslist.org/view/d/vancouver-2011-mazda-mazda3-gs-manual/3GJDBmjc2k2yGUq8S1g2qW,good,gas,blue,clean,manual,hatchback,4.0,fwd,Vancouver,,,2011.0,15.0,Mazda,Mazda3,10.25,7.6,9.05,Japanese,18792.5,1.25,Above Average,2444.0
Promastercity 2018,17000,134800.0,0,https://www.craigslist.org/view/d/burnaby-promastercity-2018/f9zW4Lr2i9n9N7omGJAdRx,like new,gas,white,rebuilt,automatic,van,4.0,fwd,Vancouver,,,2018.0,8.0,,,,,,,16850.0,1.12,Average,
2018 Ram Promaster City,17000,134000.0,0,https://www.craigslist.org/view/d/new-westminster-2018-ram-promaster-city/iuFGUoNokB3w8LtcypEQgc,like new,gas,white,rebuilt,automatic,van,4.0,rwd,Surrey,,,2018.0,8.0,Ram,ProMaster City,11.2,8.3,9.9,American,16750.0,1.12,Average,2673.0
"1968 Ford Thunderbird, original condition....only 46,000 miles",16500,46000.0,0,https://www.craigslist.org/view/d/squamish-1968-ford-thunderbird-original/jLfk2r9zhNdgSe6dqWKGuq,excellent,gas,blue,clean,automatic,coupe,8.0,rwd,Squamish,,,1968.0,58.0,Ford,Thunderbird,,,,American,793.1,0.05,Ultra Low/Weekend,
2002 Mercedes Benz C240,7500,139000.0,0,https://www.craigslist.org/view/d/vancouver-2002-mercedes-benz-c240/uSAirw26nd2d48LxZ4nATp,like new,gas,silver,clean,automatic,sedan,6.0,rwd,VANCOUVER,,,2002.0,24.0,Mercedes-Benz,C 240,14.05,9.75,12.15,European,5791.7,0.39,Ultra Low/Weekend,3280.0
"1958 Volkswagen Standard Microbus, Mango Green Original",35000,100000.0,0,https://www.craigslist.org/view/d/vancouver-1958-volkswagen-standard/8Hnkz1BBSskt3a4kWJUSXP,,gas,,clean,manual,,,,Vancouver | PNE,,,1958.0,68.0,Volkswagen,,,,,European,1470.6,0.1,Ultra Low/Weekend,
"2011 Hyundai Veracruz 7 seater SUV - AWD, all terrain tires",3800,236500.0,0,https://www.craigslist.org/view/d/vancouver-2011-hyundai-veracruz-seater/99e21JwsooZSf6e27PvBVP,fair,gas,,clean,automatic,SUV,6.0,4wd,Vancouver,,,2011.0,15.0,Hyundai,Veracruz,14.55,10.3,12.65,Korean,15766.7,1.05,Average,3416.0
2017 Mercedes Benz CLA45 AMG,26000,97000.0,0,https://www.craigslist.org/view/d/vancouver-2017-mercedes-benz-cla45-amg/j1YBzBtURRP9bwxsuuBa2T,like new,gas,grey,clean,automatic,sedan,4.0,4wd,Vancouver,WDDSJ5CB2HN441570,,2017.0,9.0,Mercedes-Benz,CLA 45 AMG,,,,European,10777.8,0.72,Below Average,
2000 SAAB 9.3 > 5sp manual turbo> runs good,3300,225000.0,0,https://www.craigslist.org/view/d/vancouver-2000-saab-93-5sp-manual-turbo/ikDHAz8uUvoppq4Vm26gjH,good,gas,red,clean,manual,hatchback,4.0,fwd,West End - Vancouver,,,2000.0,26.0,Saab,9-3,13.1,8.9,11.2,European,8653.8,0.58,Below Average,3024.0
2012 Ram 1500 Quad Cab Laramie 4x4,24500,85000.0,0,https://www.craigslist.org/view/d/delta-northeast-2012-ram-1500-quad-cab/3L6LeHASjRsw94mRrmunWd,like new,gas,grey,clean,automatic,truck,8.0,4wd,North Delta,,,2012.0,14.0,Ram,1500,17.35,12.5,15.15,American,6071.4,0.4,Ultra Low/Weekend,4090.0
2013 Toyota 4Runner Limited Edition,23500,60000.0,0,https://www.craigslist.org/view/d/vancouver-2013-toyota-4runner-limited/jM6vKv5UQkpbDaqxHp8VC7,excellent,gas,white,clean,automatic,SUV,,,Vancouver,,,2013.0,13.0,Toyota,4Runner,14.3,11.1,12.8,Japanese,4615.4,0.31,Ultra Low/Weekend,3456.0
2013 Chevrolet Silverado 1500,6500,217000.0,0,https://www.craigslist.org/view/d/vancouver-2013-chevrolet-silverado-1500/d7R5DUhW5NL2YNRzVDM18C,good,gas,silver,clean,automatic,pickup,,,city of vancouver,,,2013.0,13.0,Chevrolet,Silverado,18.25,13.25,15.9,American,16692.3,1.11,Average,4293.0
Mercedes ML320 2009,7800,253000.0,0,https://www.craigslist.org/view/d/port-coquitlam-central-mercedes-ml/byBx4SWr9nrQtvmvxn5zXD,excellent,diesel,silver,clean,automatic,SUV,,,Coquitlam,,,2009.0,17.0,Mercedes-Benz,ML 320,13.3,9.7,11.7,European,14882.4,0.99,Average,3159.0
1999 INTERNATIONAL 4700,18950,436000.0,0,https://www.craigslist.org/view/d/north-vancouver-1999-international-4700/9BTupCPWVKg8YALQkLYbff,good,diesel,white,clean,manual,truck,6.0,rwd,Norh Vancouver,,,1999.0,27.0,,,,,,,16148.1,1.08,Average,
2007 Audi A4 2.0T Quattro Avant wagon,4200,280000.0,0,https://www.craigslist.org/view/d/vancouver-2007-audi-a4-20t-quattro/7GVK6NkUchx7UHKYs9Z4Tx,good,gas,,clean,automatic,wagon,4.0,,city of vancouver,,,2007.0,19.0,Audi,A4,11.6,8.0,9.8,European,14736.8,0.98,Average,2646.0
